Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
7/28/2018,AQS,340010006,1,9.9,ug/m3 LC,41,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
7/31/2018,AQS,340010006,1,4.5,ug/m3 LC,19,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/3/2018,AQS,340010006,1,4.9,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/6/2018,AQS,340010006,1,11.3,ug/m3 LC,47,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/9/2018,AQS,340010006,1,8.8,ug/m3 LC,37,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/12/2018,AQS,340010006,1,6.5,ug/m3 LC,27,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/15/2018,AQS,340010006,1,13.2,ug/m3 LC,53,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/18/2018,AQS,340010006,1,10.8,ug/m3 LC,45,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
8/21/2018,AQS,340010006,1,3.3,ug/m3 LC,14,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
9/11/2018,AQS,340010006,1,2.5,ug/m3 LC,10,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
9/14/2018,AQS,340010006,1,3.2,ug/m3 LC,13,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
9/17/2018,AQS,340010006,1,3.4,ug/m3 LC,14,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
9/23/2018,AQS,340010006,1,2.3,ug/m3 LC,10,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
9/26/2018,AQS,340010006,1,4.1,ug/m3 LC,17,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
9/29/2018,AQS,340010006,1,5,ug/m3 LC,21,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/5/2018,AQS,340010006,1,5.5,ug/m3 LC,23,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/8/2018,AQS,340010006,1,4.8,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/11/2018,AQS,340010006,1,4.6,ug/m3 LC,19,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
10/14/2018,AQS,340010006,1,4.9,ug/m3 LC,20,Brigantine,1,100,88101,PM2.5 - Local Conditions,12100,"Atlantic City-Hammonton, NJ",34,New Jersey,1,Atlantic,39.464872,-74.448736
